"Story","Title","Result","Date","Stability","Duration (s)"
"Product tags test","Provide a 500 status code when incorrect HTTP method is used to access resources","SUCCESS","2023-01-11T04:39:32.250+10:00[Australia/Brisbane]","0.0","9.44"
"Products CRUD test with steps","Update Product name by ID","SUCCESS","2023-01-11T04:39:32.308+10:00[Australia/Brisbane]","0.0","9.66"
"Product tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-01-11T04:39:41.745+10:00[Australia/Brisbane]","0.0","2.29"
"Products data driven test","Creating multiple products with Data driven","FAILURE","2023-01-11T04:39:41.844+10:00[Australia/Brisbane]","0.0","140.12"
"Products CRUD test with steps","This will create new product","SUCCESS","2023-01-11T04:39:42.037+10:00[Australia/Brisbane]","0.0","2.55"
"Stores CRUD test with steps","This will create new  store","SUCCESS","2023-01-11T04:39:43.140+10:00[Australia/Brisbane]","0.0","1.45"
"Product tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2023-01-11T04:39:44.037+10:00[Australia/Brisbane]","0.0","0.07"
"Stores CRUD test with steps","Getting the store information with Name:","SUCCESS","2023-01-11T04:39:44.589+10:00[Australia/Brisbane]","0.0","0.1"
"Products CRUD test with steps","Getting the product information with id:","SUCCESS","2023-01-11T04:39:44.590+10:00[Australia/Brisbane]","0.0","0.05"
"Products CRUD test with steps","Updating product information and verify the updated information","SUCCESS","2023-01-11T04:39:44.639+10:00[Australia/Brisbane]","0.0","0.09"
"Stores CRUD test with steps","Updating store information and verify the updated information","SUCCESS","2023-01-11T04:39:44.686+10:00[Australia/Brisbane]","0.0","0.09"
"Products CRUD test with steps","Deleting product with id and verify that user is deleted","SUCCESS","2023-01-11T04:39:44.727+10:00[Australia/Brisbane]","0.0","0.09"
"Stores CRUD test with steps","Deleting store with id and verify that user is deleted","SUCCESS","2023-01-11T04:39:44.775+10:00[Australia/Brisbane]","0.0","0.07"
"Products CRUD test with steps","Delete Product name by ID","SUCCESS","2023-01-11T04:39:44.820+10:00[Australia/Brisbane]","0.0","0.03"
"Stores tags test","Provide a 500 status code when incorrect HTTP method is used to access resources","SUCCESS","2023-01-11T04:39:44.915+10:00[Australia/Brisbane]","0.0","0.06"
"Stores tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-01-11T04:39:44.980+10:00[Australia/Brisbane]","0.0","0.25"
"Stores tags test","This test will provide an error code of 404 when user tries to access an invalid resource","SUCCESS","2023-01-11T04:39:45.242+10:00[Australia/Brisbane]","0.0","0.05"
"Stores data driven test","Data driven test for adding multiple products to the application","SUCCESS","2023-01-11T04:39:47.265+10:00[Australia/Brisbane]","0.0","0.79"
